Spanish,English
que,that
de,of
la,the
el,he
es,is
y,and
en,in
lo,it
un,a
qué,that
una,a
te,tea
se,HE
con,with
mi,my
bien,good
pero,but
yo,I
las,the
sí,Yeah
su,his
tu,you
aquí,here
del,of the
al,to the
como,as
le,you
más,further
esto,this
ya,already
todo,all
esta,this
vamos,come on
muy,very
hay,there is
ahora,now
algo,something
estoy,I'm
tengo,I have
nos,us
tú,you
nada,nothing
cuando,when
ha,ha
este,this
estás,are
así,So
puedo,I can
cómo,as
quiero,wanna
sólo,only
soy,am
tiene,has
gracias,thank you
o,either
él,he
bueno,Well
fue,was
ser,be
hacer,do
era,was
eres,are
vez,time
tienes,have
creo,believe
ella,she
he,He
ese,that
voy,go
puede,can
sabes,You know
hola,hello
sus,their
dios,God
quién,who
nunca,never
quieres,want
favor,favor
esa,that
tan,so
tiempo,time
verdad,TRUE
estaba,was
